class_id,status,elapsed_ms,candidate_count,detail
1,difference_existing_test,1006,5,candidate_index=0;method1=OK;method2=OK
2,difference_existing_test,1269,114,candidate_index=0;method1=OK;method2=OK
3,no_counterexample_found,1224,125,
4,difference_existing_test,1006,10,candidate_index=0;method1=OK;method2=EX
5,difference_existing_test,1002,10,candidate_index=0;method1=OK;method2=EX
6,no_counterexample_found,1034,10,
7,difference_existing_test,1021,10,candidate_index=0;method1=OK;method2=OK
8,difference_existing_test,1044,10,candidate_index=0;method1=OK;method2=OK
9,difference_existing_test,1028,10,candidate_index=0;method1=OK;method2=OK
10,difference_existing_test,1050,10,candidate_index=0;method1=OK;method2=OK
11,difference_existing_test,1026,10,candidate_index=0;method1=OK;method2=OK
12,difference_existing_test,1044,10,candidate_index=0;method1=OK;method2=OK
13,difference_existing_test,1005,10,candidate_index=0;method1=OK;method2=OK
14,difference_existing_test,1041,10,candidate_index=0;method1=OK;method2=OK
15,no_counterexample_found,1013,10,
16,difference_existing_test,997,10,candidate_index=0;method1=OK;method2=OK
17,no_counterexample_found,998,10,
18,no_counterexample_found,1023,10,
19,no_counterexample_found,1010,10,
20,no_counterexample_found,1065,10,
21,no_counterexample_found,1025,10,
22,no_counterexample_found,1006,10,
23,no_counterexample_found,1019,10,
24,no_counterexample_found,1022,10,
25,no_counterexample_found,1024,10,
26,difference_existing_test,1048,10,candidate_index=0;method1=OK;method2=OK
27,no_counterexample_found,1027,10,
28,no_counterexample_found,1016,10,
29,no_counterexample_found,1013,10,
30,no_counterexample_found,1049,10,
31,no_counterexample_found,1026,10,
32,difference_existing_test,1018,10,candidate_index=0;method1=OK;method2=OK
33,difference_existing_test,1045,10,candidate_index=0;method1=OK;method2=OK
34,difference_existing_test,1004,10,candidate_index=0;method1=OK;method2=OK
35,difference_existing_test,1045,10,candidate_index=0;method1=OK;method2=OK
36,difference_existing_test,1039,10,candidate_index=0;method1=OK;method2=OK
37,no_counterexample_found,1048,10,
38,no_counterexample_found,1004,10,
39,no_counterexample_found,1039,10,
40,no_counterexample_found,1045,10,
41,no_counterexample_found,1023,10,
42,no_counterexample_found,1023,10,
43,no_counterexample_found,1041,10,
44,no_counterexample_found,1029,10,
45,no_counterexample_found,1050,10,
46,no_counterexample_found,1031,10,
47,no_counterexample_found,1024,10,
48,no_counterexample_found,1043,10,
49,no_counterexample_found,1002,10,
50,no_counterexample_found,996,10,
51,no_counterexample_found,1037,10,
52,no_counterexample_found,1003,10,
53,difference_existing_test,1032,5,candidate_index=3;method1=OK;method2=OK
54,no_counterexample_found,1186,50,
55,no_counterexample_found,1217,50,
56,no_counterexample_found,1150,50,
57,no_counterexample_found,1187,45,
58,no_counterexample_found,1155,45,
59,no_counterexample_found,1161,45,
60,no_counterexample_found,1190,45,
61,no_counterexample_found,1185,50,
62,no_counterexample_found,1215,50,
63,no_counterexample_found,1155,45,
64,no_counterexample_found,1135,50,
65,no_counterexample_found,1140,50,
66,no_counterexample_found,1170,50,
67,no_counterexample_found,1152,45,
68,no_counterexample_found,1051,8,
69,no_counterexample_found,1098,45,
70,no_counterexample_found,1121,45,
71,no_counterexample_found,1121,45,
72,no_counterexample_found,1058,30,
73,difference_existing_test,1028,9,candidate_index=0;method1=OK;method2=OK
74,difference_existing_test,1055,9,candidate_index=4;method1=OK;method2=OK
75,no_counterexample_found,1210,125,
76,no_counterexample_found,1229,125,
77,no_counterexample_found,1188,125,
78,difference_existing_test,1519,367,candidate_index=0;method1=OK;method2=OK
79,difference_existing_test,1564,367,candidate_index=0;method1=OK;method2=OK
80,no_counterexample_found,1585,367,
81,no_counterexample_found,1550,367,
82,no_counterexample_found,1509,367,
83,difference_existing_test,1590,367,candidate_index=0;method1=OK;method2=OK
84,difference_existing_test,1575,367,candidate_index=0;method1=OK;method2=OK
85,difference_existing_test,1566,367,candidate_index=0;method1=OK;method2=OK
86,difference_existing_test,1581,367,candidate_index=0;method1=OK;method2=OK
87,no_counterexample_found,1558,367,
88,difference_existing_test,1547,367,candidate_index=1;method1=OK;method2=OK
89,difference_existing_test,1208,125,candidate_index=0;method1=OK;method2=OK
90,difference_existing_test,1225,125,candidate_index=0;method1=OK;method2=OK
91,no_counterexample_found,1207,125,
92,difference_existing_test,1199,125,candidate_index=1;method1=OK;method2=OK
93,difference_existing_test,1251,125,candidate_index=1;method1=OK;method2=OK
94,difference_existing_test,1135,55,candidate_index=0;method1=OK;method2=OK
95,no_counterexample_found,1142,55,
96,difference_existing_test,1149,55,candidate_index=0;method1=OK;method2=OK
97,no_counterexample_found,1289,100,
98,no_counterexample_found,1203,125,
99,no_counterexample_found,1114,35,
100,no_counterexample_found,1314,265,
